"rank","model_id","display_name","organization","tier","editorial_score","primary_category","parameter_scale","image_understanding_1_5","ocr_1_5","document_understanding_1_5","grounding_boxes_points","segmentation_masks","gui_action_planning","image_generation_or_editing","video_understanding","multi_image","tool_calling","targeted_action_support","targeted_action_types","best_for","local_hardware_guidance","recommended_runtime","license_id","commercial_use","commercial_conditions","public_weights","access_gate","official_publisher_repo","downloads_hf_30d_snapshot","likes_hf_snapshot","last_modified","model_url","license_url","verification_date","caution"
"1","Qwen/Qwen3.8-27B","Qwen3.8-27B","Qwen","S","98.6","VLM כללי מתקדם","27B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","91917","9762","2026-08-14","https://huggingface.co/Qwen/Qwen3.8-27B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"2","Qwen/Qwen3.6-27B","Qwen3.6-27B","Qwen","S","98.3","VLM כללי מתקדם","27B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","7050183","2264","2026-04-24","https://huggingface.co/Qwen/Qwen3.6-27B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"3","google/gemma-4-31B-it","gemma-4-31B-it","google","S","98.1","VLM כללי","31B","5","4","4","חלקי","לא","חלקי","לא","חלקי","כן","חלקי","עקיף","ניתוח, פלט מובנה והכוונת כלי חיצוני; לא משנה פיקסלים לבדו","הבנת תמונות, שאלות חזותיות, מסמכים ושילוב טוב במערכות מקומיות","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","9965914","3568","2026-07-20","https://huggingface.co/google/gemma-4-31B-it","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"4","Qwen/Qwen3.6-35B-A3B","Qwen3.6-35B-A3B","Qwen","S","97.8","VLM כללי מתקדם","35B כולל / 3B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","5873711","2691","2026-04-24","https://huggingface.co/Qwen/Qwen3.6-35B-A3B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"5","google/gemma-4-26B-A4B-it","gemma-4-26B-A4B-it","google","S","97.5","VLM כללי","26B כולל / 4B פעילים","5","4","4","חלקי","לא","חלקי","לא","חלקי","כן","חלקי","עקיף","ניתוח, פלט מובנה והכוונת כלי חיצוני; לא משנה פיקסלים לבדו","הבנת תמונות, שאלות חזותיות, מסמכים ושילוב טוב במערכות מקומיות","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","10168554","1393","2026-07-20","https://huggingface.co/google/gemma-4-26B-A4B-it","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"6","Qwen/Qwen3.5-27B","Qwen3.5-27B","Qwen","S","97.3","VLM כללי מתקדם","27B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","2794943","1028","2026-04-24","https://huggingface.co/Qwen/Qwen3.5-27B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"7","Qwen/Qwen3.5-122B-A10B","Qwen3.5-122B-A10B","Qwen","S","97","VLM כללי מתקדם","122B כולל / 10B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","שרת רב-GPU (בדרך כלל 160GB+ VRAM או כימות כבד)","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","2220760","606","2026-04-24","https://huggingface.co/Qwen/Qwen3.5-122B-A10B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"8","Qwen/Qwen3-VL-235B-A22B-Thinking","Qwen3-VL-235B-A22B-Thinking","Qwen","S","96.7","VLM כללי מתקדם","235B כולל / 22B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","שרת רב-GPU (בדרך כלל 160GB+ VRAM או כימות כבד)","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","11522","400","2025-11-26","https://huggingface.co/Qwen/Qwen3-VL-235B-A22B-Thinking","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"9","Qwen/Qwen3-VL-235B-A22B-Instruct","Qwen3-VL-235B-A22B-Instruct","Qwen","S","96.4","VLM כללי מתקדם","235B כולל / 22B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","שרת רב-GPU (בדרך כלל 160GB+ VRAM או כימות כבד)","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","1641575","414","2025-11-26","https://huggingface.co/Qwen/Qwen3-VL-235B-A22B-Instruct","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"10","Qwen/Qwen3-VL-32B-Thinking","Qwen3-VL-32B-Thinking","Qwen","S","96.2","VLM כללי מתקדם","32B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","14667","87","2025-10-21","https://huggingface.co/Qwen/Qwen3-VL-32B-Thinking","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
